date;value3(Ko);value4(req)
2018/01/04:19:00:44;675.00000000;4100.00000000
2018/01/04:19:00:45;690.00000000;4080.00000000
2018/01/04:19:00:46;705.00000000;4060.00000000
2018/01/04:19:00:47;720.00000000;4040.00000000
2018/01/04:19:00:48;735.00000000;4020.00000000
2018/01/04:19:00:49;750.00000000;4000.00000000
2018/01/04:19:00:50;765.00000000;3980.00000000
2018/01/04:19:00:51;780.00000000;3960.00000000
2018/01/04:19:00:52;795.00000000;3940.00000000
2018/01/04:19:00:53;810.00000000;3920.00000000
2018/01/04:19:00:54;825.00000000;3900.00000000
2018/01/04:19:00:55;840.00000000;3880.00000000
2018/01/04:19:00:56;855.00000000;3860.00000000
2018/01/04:19:00:57;870.00000000;3840.00000000
2018/01/04:19:00:58;885.00000000;3820.00000000
2018/01/04:19:00:59;900.00000000;3800.00000000
2018/01/04:19:01:00;915.00000000;3780.00000000
2018/01/04:19:01:01;930.00000000;3760.00000000
2018/01/04:19:01:02;945.00000000;3740.00000000
2018/01/04:19:01:03;960.00000000;3720.00000000
2018/01/04:19:01:04;975.00000000;3700.00000000
2018/01/04:19:01:05;990.00000000;3680.00000000
2018/01/04:19:01:06;1005.00000000;3660.00000000
2018/01/04:19:01:07;1020.00000000;3640.00000000
2018/01/04:19:01:08;1035.00000000;3620.00000000
2018/01/04:19:01:09;1050.00000000;3600.00000000
2018/01/04:19:01:10;1065.00000000;3580.00000000
2018/01/04:19:01:11;1080.00000000;3560.00000000
2018/01/04:19:01:12;1095.00000000;3540.00000000
2018/01/04:19:01:13;1110.00000000;3520.00000000
2018/01/04:19:01:14;1125.00000000;3500.00000000
2018/01/04:19:01:15;1140.00000000;3480.00000000
2018/01/04:19:01:16;1155.00000000;3460.00000000
2018/01/04:19:01:17;1170.00000000;3440.00000000
2018/01/04:19:01:18;1185.00000000;3420.00000000
2018/01/04:19:01:19;1200.00000000;3400.00000000
2018/01/04:19:01:20;1215.00000000;3380.00000000
2018/01/04:19:01:21;1230.00000000;3360.00000000
2018/01/04:19:01:22;1245.00000000;3340.00000000
2018/01/04:19:01:23;1260.00000000;3320.00000000
2018/01/04:19:01:24;1275.00000000;3300.00000000
2018/01/04:19:01:25;1290.00000000;3280.00000000
2018/01/04:19:01:26;1305.00000000;3260.00000000
2018/01/04:19:01:27;1320.00000000;3240.00000000
2018/01/04:19:01:28;1335.00000000;3220.00000000
2018/01/04:19:01:29;1350.00000000;3200.00000000
2018/01/04:19:01:30;1365.00000000;3180.00000000
2018/01/04:19:01:31;1380.00000000;3160.00000000
2018/01/04:19:01:32;1395.00000000;3140.00000000
2018/01/04:19:01:33;1410.00000000;3120.00000000
2018/01/04:19:01:34;1425.00000000;3100.00000000
2018/01/04:19:01:35;1440.00000000;3080.00000000
2018/01/04:19:01:36;1455.00000000;3060.00000000
2018/01/04:19:01:37;1470.00000000;3040.00000000
2018/01/04:19:01:38;1485.00000000;3020.00000000
2018/01/04:19:01:39;1500.00000000;3000.00000000
2018/01/04:19:01:40;1515.00000000;2980.00000000
2018/01/04:19:01:41;1530.00000000;2960.00000000
2018/01/04:19:01:42;1545.00000000;2940.00000000
2018/01/04:19:01:43;1560.00000000;2920.00000000
2018/01/04:19:01:44;1575.00000000;2900.00000000
2018/01/04:19:01:45;1590.00000000;2880.00000000
2018/01/04:19:01:46;1605.00000000;2860.00000000
2018/01/04:19:01:47;1620.00000000;2840.00000000
2018/01/04:19:01:48;1635.00000000;2820.00000000
2018/01/04:19:01:49;1650.00000000;2800.00000000
2018/01/04:19:01:50;1665.00000000;2780.00000000
2018/01/04:19:01:51;1680.00000000;2760.00000000
2018/01/04:19:01:52;1695.00000000;2740.00000000
2018/01/04:19:01:53;1710.00000000;2720.00000000
2018/01/04:19:01:54;1725.00000000;2700.00000000
2018/01/04:19:01:55;1740.00000000;2680.00000000
2018/01/04:19:01:56;1755.00000000;2660.00000000
2018/01/04:19:01:57;1770.00000000;2640.00000000
2018/01/04:19:01:58;1785.00000000;2620.00000000
2018/01/04:19:01:59;1800.00000000;2600.00000000
2018/01/04:19:02:00;1815.00000000;2580.00000000
2018/01/04:19:02:01;1830.00000000;2560.00000000
2018/01/04:19:02:02;1845.00000000;2540.00000000
2018/01/04:19:02:03;1860.00000000;2520.00000000
2018/01/04:19:02:04;1875.00000000;2500.00000000
2018/01/04:19:02:05;1890.00000000;2480.00000000
2018/01/04:19:02:06;1905.00000000;2460.00000000
2018/01/04:19:02:07;1920.00000000;2440.00000000
2018/01/04:19:02:08;1935.00000000;2420.00000000
2018/01/04:19:02:09;1950.00000000;2400.00000000
2018/01/04:19:02:10;1965.00000000;2380.00000000
2018/01/04:19:02:11;1980.00000000;2360.00000000
2018/01/04:19:02:12;1995.00000000;2340.00000000
2018/01/04:19:02:13;2010.00000000;2320.00000000
2018/01/04:19:02:14;2025.00000000;2300.00000000
2018/01/04:19:02:15;2040.00000000;2280.00000000
2018/01/04:19:02:16;2055.00000000;2260.00000000
2018/01/04:19:02:17;2070.00000000;2240.00000000
2018/01/04:19:02:18;2085.00000000;2220.00000000
2018/01/04:19:02:19;2100.00000000;2200.00000000
2018/01/04:19:02:20;2115.00000000;2180.00000000
2018/01/04:19:02:21;2130.00000000;2160.00000000
2018/01/04:19:02:22;2145.00000000;2140.00000000
2018/01/04:19:02:23;2160.00000000;2120.00000000
2018/01/04:19:02:24;2175.00000000;2100.00000000
2018/01/04:19:02:25;2190.00000000;2080.00000000
2018/01/04:19:02:26;2205.00000000;2060.00000000
2018/01/04:19:02:27;2220.00000000;2040.00000000
2018/01/04:19:02:28;2235.00000000;2020.00000000
2018/01/04:19:02:29;2250.00000000;2000.00000000
2018/01/04:19:02:30;2265.00000000;1980.00000000
2018/01/04:19:02:31;2280.00000000;1960.00000000
2018/01/04:19:02:32;2295.00000000;1940.00000000
2018/01/04:19:02:33;2310.00000000;1920.00000000
2018/01/04:19:02:34;2325.00000000;1900.00000000
2018/01/04:19:02:35;2340.00000000;1880.00000000
2018/01/04:19:02:36;2355.00000000;1860.00000000
2018/01/04:19:02:37;2370.00000000;1840.00000000
2018/01/04:19:02:38;2385.00000000;1820.00000000
2018/01/04:19:02:39;2400.00000000;1800.00000000
2018/01/04:19:02:40;2415.00000000;1780.00000000
2018/01/04:19:02:41;2430.00000000;1760.00000000
2018/01/04:19:02:42;2445.00000000;1740.00000000
2018/01/04:19:02:43;2460.00000000;1720.00000000
2018/01/04:19:02:44;2475.00000000;1700.00000000
2018/01/04:19:02:45;2490.00000000;1680.00000000
2018/01/04:19:02:46;2505.00000000;1660.00000000
2018/01/04:19:02:47;2520.00000000;1640.00000000
2018/01/04:19:02:48;2535.00000000;1620.00000000
2018/01/04:19:02:49;2550.00000000;1600.00000000
2018/01/04:19:02:50;2565.00000000;1580.00000000
2018/01/04:19:02:51;2580.00000000;1560.00000000
2018/01/04:19:02:52;2595.00000000;1540.00000000
2018/01/04:19:02:53;2610.00000000;1520.00000000
2018/01/04:19:02:54;2625.00000000;1500.00000000
2018/01/04:19:02:55;2640.00000000;1480.00000000
2018/01/04:19:02:56;2655.00000000;1460.00000000
2018/01/04:19:02:57;2670.00000000;1440.00000000
2018/01/04:19:02:58;2685.00000000;1420.00000000
2018/01/04:19:02:59;2700.00000000;1400.00000000
2018/01/04:19:03:00;2715.00000000;1380.00000000
2018/01/04:19:03:01;2730.00000000;1360.00000000
2018/01/04:19:03:02;2745.00000000;1340.00000000
2018/01/04:19:03:03;2760.00000000;1320.00000000
2018/01/04:19:03:04;2775.00000000;1300.00000000
2018/01/04:19:03:05;2790.00000000;1280.00000000
2018/01/04:19:03:06;2805.00000000;1260.00000000
2018/01/04:19:03:07;2820.00000000;1240.00000000
2018/01/04:19:03:08;2835.00000000;1220.00000000
2018/01/04:19:03:09;2850.00000000;1200.00000000
2018/01/04:19:03:10;2865.00000000;1180.00000000
2018/01/04:19:03:11;2880.00000000;1160.00000000
2018/01/04:19:03:12;2895.00000000;1140.00000000
2018/01/04:19:03:13;2910.00000000;1120.00000000
2018/01/04:19:03:14;2925.00000000;1100.00000000
2018/01/04:19:03:15;2940.00000000;1080.00000000
2018/01/04:19:03:16;2955.00000000;1060.00000000
2018/01/04:19:03:17;2970.00000000;1040.00000000
2018/01/04:19:03:18;2985.00000000;1020.00000000
2018/01/04:19:03:19;3000.00000000;1000.00000000
2018/01/04:19:03:20;3015.00000000;980.00000000
2018/01/04:19:03:21;3030.00000000;960.00000000
2018/01/04:19:03:22;3045.00000000;940.00000000
2018/01/04:19:03:23;3060.00000000;920.00000000
2018/01/04:19:03:24;3075.00000000;900.00000000
2018/01/04:19:03:25;3090.00000000;880.00000000
2018/01/04:19:03:26;3105.00000000;860.00000000
2018/01/04:19:03:27;3120.00000000;840.00000000
2018/01/04:19:03:28;3135.00000000;820.00000000
2018/01/04:19:03:29;3150.00000000;800.00000000
2018/01/04:19:03:30;3165.00000000;780.00000000
2018/01/04:19:03:31;3180.00000000;760.00000000
2018/01/04:19:03:32;3195.00000000;740.00000000
2018/01/04:19:03:33;3210.00000000;720.00000000
2018/01/04:19:03:34;3225.00000000;700.00000000
2018/01/04:19:03:35;3240.00000000;680.00000000
2018/01/04:19:03:36;3255.00000000;660.00000000
2018/01/04:19:03:37;3270.00000000;640.00000000
2018/01/04:19:03:38;3285.00000000;620.00000000
2018/01/04:19:03:39;3300.00000000;600.00000000
2018/01/04:19:03:40;3315.00000000;580.00000000
2018/01/04:19:03:41;3330.00000000;560.00000000
2018/01/04:19:03:42;3345.00000000;540.00000000
2018/01/04:19:03:43;3360.00000000;520.00000000
2018/01/04:19:03:44;3375.00000000;500.00000000
2018/01/04:19:03:45;3390.00000000;480.00000000
2018/01/04:19:03:46;3405.00000000;460.00000000
2018/01/04:19:03:47;3420.00000000;440.00000000
2018/01/04:19:03:48;3435.00000000;420.00000000
2018/01/04:19:03:49;3450.00000000;400.00000000
2018/01/04:19:03:50;3465.00000000;380.00000000
2018/01/04:19:03:51;3480.00000000;360.00000000
2018/01/04:19:03:52;3495.00000000;340.00000000
2018/01/04:19:03:53;3510.00000000;320.00000000
2018/01/04:19:03:54;3525.00000000;300.00000000
2018/01/04:19:03:55;3540.00000000;280.00000000
2018/01/04:19:03:56;3555.00000000;260.00000000
2018/01/04:19:03:57;3570.00000000;240.00000000
2018/01/04:19:03:58;3585.00000000;220.00000000
2018/01/04:19:03:59;3600.00000000;200.00000000
2018/01/04:19:04:00;3615.00000000;180.00000000
2018/01/04:19:04:01;3630.00000000;160.00000000
2018/01/04:19:04:02;3645.00000000;140.00000000
2018/01/04:19:04:03;3660.00000000;120.00000000
2018/01/04:19:04:04;3675.00000000;100.00000000
2018/01/04:19:04:05;3690.00000000;80.00000000
2018/01/04:19:04:06;3705.00000000;60.00000000
2018/01/04:19:04:07;3720.00000000;40.00000000
2018/01/04:19:04:08;3735.00000000;20.00000000
2018/01/04:19:04:09;3750.00000000;0.00000000
2018/01/04:19:04:10;3765.00000000;-20.00000000
2018/01/04:19:04:11;3780.00000000;-40.00000000
2018/01/04:19:04:12;3795.00000000;-60.00000000
2018/01/04:19:04:13;3810.00000000;-80.00000000
2018/01/04:19:04:14;3825.00000000;-100.00000000
2018/01/04:19:04:15;3840.00000000;-120.00000000
2018/01/04:19:04:16;3855.00000000;-140.00000000
2018/01/04:19:04:17;3870.00000000;-160.00000000
2018/01/04:19:04:18;3885.00000000;-180.00000000
2018/01/04:19:04:19;3900.00000000;-200.00000000
2018/01/04:19:04:20;3915.00000000;-220.00000000
2018/01/04:19:04:21;3930.00000000;-240.00000000
2018/01/04:19:04:22;3945.00000000;-260.00000000
2018/01/04:19:04:23;3960.00000000;-280.00000000
2018/01/04:19:04:24;3975.00000000;-300.00000000
2018/01/04:19:04:25;3990.00000000;-320.00000000
2018/01/04:19:04:26;4005.00000000;-340.00000000
2018/01/04:19:04:27;4020.00000000;-360.00000000
2018/01/04:19:04:28;4035.00000000;-380.00000000
2018/01/04:19:04:29;4050.00000000;-400.00000000
2018/01/04:19:04:30;4065.00000000;-420.00000000
2018/01/04:19:04:31;4080.00000000;-440.00000000
2018/01/04:19:04:32;4095.00000000;-460.00000000
2018/01/04:19:04:33;4110.00000000;-480.00000000
2018/01/04:19:04:34;4125.00000000;-500.00000000
2018/01/04:19:04:35;4140.00000000;-520.00000000
2018/01/04:19:04:36;4155.00000000;-540.00000000
2018/01/04:19:04:37;4170.00000000;-560.00000000
2018/01/04:19:04:38;4185.00000000;-580.00000000
2018/01/04:19:04:39;4200.00000000;-600.00000000
2018/01/04:19:04:40;4215.00000000;-620.00000000
2018/01/04:19:04:41;4230.00000000;-640.00000000
2018/01/04:19:04:42;4245.00000000;-660.00000000
2018/01/04:19:04:43;4260.00000000;-680.00000000
2018/01/04:19:04:44;4275.00000000;-700.00000000
2018/01/04:19:04:45;4290.00000000;-720.00000000
2018/01/04:19:04:46;4305.00000000;-740.00000000
2018/01/04:19:04:47;4320.00000000;-760.00000000
2018/01/04:19:04:48;4335.00000000;-780.00000000
2018/01/04:19:04:49;4350.00000000;-800.00000000
2018/01/04:19:04:50;4365.00000000;-820.00000000
2018/01/04:19:04:51;4380.00000000;-840.00000000
2018/01/04:19:04:52;4395.00000000;-860.00000000
2018/01/04:19:04:53;4410.00000000;-880.00000000
2018/01/04:19:04:54;4425.00000000;-900.00000000
2018/01/04:19:04:55;4440.00000000;-920.00000000
2018/01/04:19:04:56;4455.00000000;-940.00000000
2018/01/04:19:04:57;4470.00000000;-960.00000000
2018/01/04:19:04:58;4485.00000000;-980.00000000
2018/01/04:19:04:59;4500.00000000;-1000.00000000
2018/01/04:19:05:00;4515.00000000;-1020.00000000
2018/01/04:19:05:01;4530.00000000;-1040.00000000
2018/01/04:19:05:02;4545.00000000;-1060.00000000
2018/01/04:19:05:03;4560.00000000;-1080.00000000
2018/01/04:19:05:04;4575.00000000;-1100.00000000
2018/01/04:19:05:05;4590.00000000;-1120.00000000
2018/01/04:19:05:06;4605.00000000;-1140.00000000
2018/01/04:19:05:07;4620.00000000;-1160.00000000
2018/01/04:19:05:08;4635.00000000;-1180.00000000
2018/01/04:19:05:09;4650.00000000;-1200.00000000
2018/01/04:19:05:10;4665.00000000;-1220.00000000
2018/01/04:19:05:11;4680.00000000;-1240.00000000
2018/01/04:19:05:12;4695.00000000;-1260.00000000
2018/01/04:19:05:13;4710.00000000;-1280.00000000
2018/01/04:19:05:14;4725.00000000;-1300.00000000
2018/01/04:19:05:15;4740.00000000;-1320.00000000
2018/01/04:19:05:16;4755.00000000;-1340.00000000
2018/01/04:19:05:17;4770.00000000;-1360.00000000
2018/01/04:19:05:18;4785.00000000;-1380.00000000
2018/01/04:19:05:19;4800.00000000;-1400.00000000
2018/01/04:19:05:20;4815.00000000;-1420.00000000
2018/01/04:19:05:21;4830.00000000;-1440.00000000
2018/01/04:19:05:22;4845.00000000;-1460.00000000
2018/01/04:19:05:23;4860.00000000;-1480.00000000
2018/01/04:19:05:24;4875.00000000;-1500.00000000
2018/01/04:19:05:25;4890.00000000;-1520.00000000
2018/01/04:19:05:26;4905.00000000;-1540.00000000
2018/01/04:19:05:27;4920.00000000;-1560.00000000
2018/01/04:19:05:28;4935.00000000;-1580.00000000
2018/01/04:19:05:29;4950.00000000;-1600.00000000
2018/01/04:19:05:30;4965.00000000;-1620.00000000
2018/01/04:19:05:31;4980.00000000;-1640.00000000
2018/01/04:19:05:32;4995.00000000;-1660.00000000
2018/01/04:19:05:33;5010.00000000;-1680.00000000
2018/01/04:19:05:34;5025.00000000;-1700.00000000
2018/01/04:19:05:35;5040.00000000;-1720.00000000
2018/01/04:19:05:36;5055.00000000;-1740.00000000
2018/01/04:19:05:37;5070.00000000;-1760.00000000
2018/01/04:19:05:38;5085.00000000;-1780.00000000
2018/01/04:19:05:39;5100.00000000;-1800.00000000
2018/01/04:19:05:40;5115.00000000;-1820.00000000
2018/01/04:19:05:41;5130.00000000;-1840.00000000
2018/01/04:19:05:42;5145.00000000;-1860.00000000
2018/01/04:19:05:43;5160.00000000;-1880.00000000
2018/01/04:19:05:44;5175.00000000;-1900.00000000
2018/01/04:19:05:45;5190.00000000;-1920.00000000
2018/01/04:19:05:46;5205.00000000;-1940.00000000
2018/01/04:19:05:47;5220.00000000;-1960.00000000
2018/01/04:19:05:48;5235.00000000;-1980.00000000
2018/01/04:19:05:49;5250.00000000;-2000.00000000
2018/01/04:19:05:50;5265.00000000;-2020.00000000
2018/01/04:19:05:51;5280.00000000;-2040.00000000
2018/01/04:19:05:52;5295.00000000;-2060.00000000
2018/01/04:19:05:53;5310.00000000;-2080.00000000
2018/01/04:19:05:54;5325.00000000;-2100.00000000
2018/01/04:19:05:55;5340.00000000;-2120.00000000
2018/01/04:19:05:56;5355.00000000;-2140.00000000
2018/01/04:19:05:57;5370.00000000;-2160.00000000
2018/01/04:19:05:58;5385.00000000;-2180.00000000
2018/01/04:19:05:59;5400.00000000;-2200.00000000
2018/01/04:19:06:00;5415.00000000;-2220.00000000
2018/01/04:19:06:01;5430.00000000;-2240.00000000
2018/01/04:19:06:02;5445.00000000;-2260.00000000
2018/01/04:19:06:03;5460.00000000;-2280.00000000
2018/01/04:19:06:04;5475.00000000;-2300.00000000
2018/01/04:19:06:05;5490.00000000;-2320.00000000
2018/01/04:19:06:06;5505.00000000;-2340.00000000
2018/01/04:19:06:07;5520.00000000;-2360.00000000
2018/01/04:19:06:08;5535.00000000;-2380.00000000
2018/01/04:19:06:09;5550.00000000;-2400.00000000
2018/01/04:19:06:10;5565.00000000;-2420.00000000
2018/01/04:19:06:11;5580.00000000;-2440.00000000
2018/01/04:19:06:12;5595.00000000;-2460.00000000
2018/01/04:19:06:13;5610.00000000;-2480.00000000
2018/01/04:19:06:14;5625.00000000;-2500.00000000
2018/01/04:19:06:15;5640.00000000;-2520.00000000
2018/01/04:19:06:16;5655.00000000;-2540.00000000
2018/01/04:19:06:17;5670.00000000;-2560.00000000
2018/01/04:19:06:18;5685.00000000;-2580.00000000
2018/01/04:19:06:19;5700.00000000;-2600.00000000
2018/01/04:19:06:20;5715.00000000;-2620.00000000
2018/01/04:19:06:21;5730.00000000;-2640.00000000
2018/01/04:19:06:22;5745.00000000;-2660.00000000
2018/01/04:19:06:23;5760.00000000;-2680.00000000
2018/01/04:19:06:24;5775.00000000;-2700.00000000
2018/01/04:19:06:25;5790.00000000;-2720.00000000
2018/01/04:19:06:26;5805.00000000;-2740.00000000
2018/01/04:19:06:27;5820.00000000;-2760.00000000
2018/01/04:19:06:28;5835.00000000;-2780.00000000
2018/01/04:19:06:29;5850.00000000;-2800.00000000
2018/01/04:19:06:30;5865.00000000;-2820.00000000
2018/01/04:19:06:31;5880.00000000;-2840.00000000
2018/01/04:19:06:32;5895.00000000;-2860.00000000
2018/01/04:19:06:33;5910.00000000;-2880.00000000
2018/01/04:19:06:34;5925.00000000;-2900.00000000
2018/01/04:19:06:35;5940.00000000;-2920.00000000
2018/01/04:19:06:36;5955.00000000;-2940.00000000
2018/01/04:19:06:37;5970.00000000;-2960.00000000
2018/01/04:19:06:38;5985.00000000;-2980.00000000
2018/01/04:19:06:39;6000.00000000;-3000.00000000
2018/01/04:19:06:40;6015.00000000;-3020.00000000
2018/01/04:19:06:41;6030.00000000;-3040.00000000
2018/01/04:19:06:42;6045.00000000;-3060.00000000
2018/01/04:19:06:43;6060.00000000;-3080.00000000
2018/01/04:19:06:44;6075.00000000;-3100.00000000
2018/01/04:19:06:45;6090.00000000;-3120.00000000
2018/01/04:19:06:46;6105.00000000;-3140.00000000
2018/01/04:19:06:47;6120.00000000;-3160.00000000
2018/01/04:19:06:48;6135.00000000;-3180.00000000
2018/01/04:19:06:49;6150.00000000;-3200.00000000
2018/01/04:19:06:50;6165.00000000;-3220.00000000
2018/01/04:19:06:51;6180.00000000;-3240.00000000
2018/01/04:19:06:52;6195.00000000;-3260.00000000
2018/01/04:19:06:53;6210.00000000;-3280.00000000
2018/01/04:19:06:54;6225.00000000;-3300.00000000
2018/01/04:19:06:55;6240.00000000;-3320.00000000
2018/01/04:19:06:56;6255.00000000;-3340.00000000
2018/01/04:19:06:57;6270.00000000;-3360.00000000
2018/01/04:19:06:58;6285.00000000;-3380.00000000
2018/01/04:19:06:59;6300.00000000;-3400.00000000
2018/01/04:19:07:00;6315.00000000;-3420.00000000
2018/01/04:19:07:01;6330.00000000;-3440.00000000
2018/01/04:19:07:02;6345.00000000;-3460.00000000
2018/01/04:19:07:03;6360.00000000;-3480.00000000
2018/01/04:19:07:04;6375.00000000;-3500.00000000
2018/01/04:19:07:05;6390.00000000;-3520.00000000
2018/01/04:19:07:06;6405.00000000;-3540.00000000
2018/01/04:19:07:07;6420.00000000;-3560.00000000
2018/01/04:19:07:08;6435.00000000;-3580.00000000
2018/01/04:19:07:09;6450.00000000;-3600.00000000
2018/01/04:19:07:10;6465.00000000;-3620.00000000
2018/01/04:19:07:11;6480.00000000;-3640.00000000
2018/01/04:19:07:12;6495.00000000;-3660.00000000
2018/01/04:19:07:13;6510.00000000;-3680.00000000
2018/01/04:19:07:14;6525.00000000;-3700.00000000
2018/01/04:19:07:15;6540.00000000;-3720.00000000
2018/01/04:19:07:16;6555.00000000;-3740.00000000
2018/01/04:19:07:17;6570.00000000;-3760.00000000
2018/01/04:19:07:18;6585.00000000;-3780.00000000
2018/01/04:19:07:19;6600.00000000;-3800.00000000
2018/01/04:19:07:20;6615.00000000;-3820.00000000
2018/01/04:19:07:21;6630.00000000;-3840.00000000
2018/01/04:19:07:22;6645.00000000;-3860.00000000
2018/01/04:19:07:23;6660.00000000;-3880.00000000
2018/01/04:19:07:24;6675.00000000;-3900.00000000
2018/01/04:19:07:25;6690.00000000;-3920.00000000
2018/01/04:19:07:26;6705.00000000;-3940.00000000
2018/01/04:19:07:27;6720.00000000;-3960.00000000
2018/01/04:19:07:28;6735.00000000;-3980.00000000
2018/01/04:19:07:29;6750.00000000;-4000.00000000
2018/01/04:19:07:30;6765.00000000;-4020.00000000
2018/01/04:19:07:31;6780.00000000;-4040.00000000
2018/01/04:19:07:32;6795.00000000;-4060.00000000
2018/01/04:19:07:33;6810.00000000;-4080.00000000
2018/01/04:19:07:34;6825.00000000;-4100.00000000
2018/01/04:19:07:35;6840.00000000;-4120.00000000
2018/01/04:19:07:36;6855.00000000;-4140.00000000
2018/01/04:19:07:37;6870.00000000;-4160.00000000
2018/01/04:19:07:38;6885.00000000;-4180.00000000
2018/01/04:19:07:39;6900.00000000;-4200.00000000
2018/01/04:19:07:40;6915.00000000;-4220.00000000
2018/01/04:19:07:41;6930.00000000;-4240.00000000
2018/01/04:19:07:42;6945.00000000;-4260.00000000
2018/01/04:19:07:43;6960.00000000;-4280.00000000
2018/01/04:19:07:44;6975.00000000;-4300.00000000
2018/01/04:19:07:45;6990.00000000;-4320.00000000
2018/01/04:19:07:46;7005.00000000;-4340.00000000
2018/01/04:19:07:47;7020.00000000;-4360.00000000
2018/01/04:19:07:48;7035.00000000;-4380.00000000
2018/01/04:19:07:49;7050.00000000;-4400.00000000
2018/01/04:19:07:50;7065.00000000;-4420.00000000
2018/01/04:19:07:51;7080.00000000;-4440.00000000
2018/01/04:19:07:52;7095.00000000;-4460.00000000
2018/01/04:19:07:53;7110.00000000;-4480.00000000
2018/01/04:19:07:54;7125.00000000;-4500.00000000
2018/01/04:19:07:55;7140.00000000;-4520.00000000
2018/01/04:19:07:56;7155.00000000;-4540.00000000
2018/01/04:19:07:57;7170.00000000;-4560.00000000
2018/01/04:19:07:58;7185.00000000;-4580.00000000
2018/01/04:19:07:59;7200.00000000;-4600.00000000
2018/01/04:19:08:00;7215.00000000;-4620.00000000
2018/01/04:19:08:01;7230.00000000;-4640.00000000
2018/01/04:19:08:02;7245.00000000;-4660.00000000
2018/01/04:19:08:03;7260.00000000;-4680.00000000
2018/01/04:19:08:04;7275.00000000;-4700.00000000
2018/01/04:19:08:05;7290.00000000;-4720.00000000
2018/01/04:19:08:06;7305.00000000;-4740.00000000
2018/01/04:19:08:07;7320.00000000;-4760.00000000
2018/01/04:19:08:08;7335.00000000;-4780.00000000
2018/01/04:19:08:09;7350.00000000;-4800.00000000
2018/01/04:19:08:10;7365.00000000;-4820.00000000
2018/01/04:19:08:11;7380.00000000;-4840.00000000
2018/01/04:19:08:12;7395.00000000;-4860.00000000
2018/01/04:19:08:13;7410.00000000;-4880.00000000
2018/01/04:19:08:14;7425.00000000;-4900.00000000
2018/01/04:19:08:15;7440.00000000;-4920.00000000
2018/01/04:19:08:16;7455.00000000;-4940.00000000
2018/01/04:19:08:17;7470.00000000;-4960.00000000
2018/01/04:19:08:18;7485.00000000;-4980.00000000
2018/01/04:19:08:19;7500.00000000;-5000.00000000
2018/01/04:19:08:20;7515.00000000;-5020.00000000
2018/01/04:19:08:21;7530.00000000;-5040.00000000
2018/01/04:19:08:22;7545.00000000;-5060.00000000
2018/01/04:19:08:23;7560.00000000;-5080.00000000
2018/01/04:19:08:24;7575.00000000;-5100.00000000
2018/01/04:19:08:25;7590.00000000;-5120.00000000
2018/01/04:19:08:26;7605.00000000;-5140.00000000
2018/01/04:19:08:27;7620.00000000;-5160.00000000
2018/01/04:19:08:28;7635.00000000;-5180.00000000
2018/01/04:19:08:29;7650.00000000;-5200.00000000
2018/01/04:19:08:30;7665.00000000;-5220.00000000
2018/01/04:19:08:31;7680.00000000;-5240.00000000
2018/01/04:19:08:32;7695.00000000;-5260.00000000
